web-scraper-order,web-scraper-start-url,clickTitoli,clickTitoli-href,Title,Rate,Date,Description,Image-src
"1575477037-149","https://www.imdb.com/chart/moviemeter/?ref_=nv_mv_mpm","Good Boys","https://www.imdb.com/title/tt7343762/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=495EYDSA8662H5W48FYS&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_52","Good Boys (2019)","6.7","16 August 2019 (USA)","Invited to his first kissing party, 12-year-old Max asks his best friends Lucas and Thor for some much-needed help on how to pucker up. When they hit a dead end, Max decides to use his father's drone to spy on the teenage girls next door. When the boys lose the drone, they skip school and hatch a plan to retrieve it before Max's dad can figure out what happened.","https://m.media-amazon.com/images/M/MV5BMTc1NjIzODAxMF5BMl5BanBnXkFtZTgwMTgzNzk1NzM@._V1_UX182_CR0,0,182,268_AL_.jpg"
"1575476998-131","https://www.imdb.com/chart/moviemeter/?ref_=nv_mv_mpm","Harry Potter and the Sorcerer's Stone","https://www.imdb.com/title/tt0241527/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=495EYDSA8662H5W48FYS&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_70","Harry Potter and the Sorcerer's Stone (2001)","7.6","16 November 2001 (USA)","This is the tale of Harry Potter (Daniel Radcliffe), an ordinary eleven-year-old boy serving as a sort of slave for his aunt and uncle who learns that he is actually a wizard and has been invited to attend the Hogwarts School for Witchcraft and Wizardry. Harry is snatched away from his mundane existence by Rubeus Hagrid (Robbie Coltrane), the groundskeeper for Hogwarts, and quickly thrown into a world completely foreign to both him and the viewer. Famous for an incident that happened at his birth, Harry makes friends easily at his new school. He soon finds, however, that the wizarding world is far more dangerous for him than he would have imagined, and he quickly learns that not all wizards are ones to be trusted.","https://m.media-amazon.com/images/M/MV5BNjQ3NWNlNmQtMTE5ZS00MDdmLTlkZjUtZTBlM2UxMGFiMTU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg"
"1575477018-140","https://www.imdb.com/chart/moviemeter/?ref_=nv_mv_mpm","The Godfather","https://www.imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=495EYDSA8662H5W48FYS&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_61","The Godfather (1972)","9.2","24 March 1972 (USA)","The Godfather ""Don"" Vito Corleone is the head of the Corleone mafia family in New York. He is at the event of his daughter's wedding. Michael, Vito's youngest son and a decorated WW II Marine is also present at the wedding. Michael seems to be uninterested in being a part of the family business. Vito is a powerful man, and is kind to all those who give him respect but is ruthless against those who do not. But when a powerful and treacherous rival wants to sell drugs and needs the Don's influence for the same, Vito refuses to do it. What follows is a clash between Vito's fading old values and the new ways which may cause Michael to do the thing he was most reluctant in doing and wage a mob war against all the other mafia families which could tear the Corleone family apart.","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR3,0,182,268_AL_.jpg"
"1575477026-144","https://www.imdb.com/chart/moviemeter/?ref_=nv_mv_mpm","The Courier","https://www.imdb.com/title/tt9207616/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=495EYDSA8662H5W48FYS&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_57","The Courier (2019)","4.4","22 November 2019 (USA)","A courier in London discovers that one of the packages she's transporting is a bomb.","https://m.media-amazon.com/images/M/MV5BZGZjYTY4MzMtOTc1ZC00NWM2LTkxMzEtOTA2MTc5YmZhYzhlXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
"1575477011-137","https://www.imdb.com/chart/moviemeter/?ref_=nv_mv_mpm","Brittany Runs a Marathon","https://www.imdb.com/title/tt7671064/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=495EYDSA8662H5W48FYS&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_64","Brittany Runs a Marathon (2019)","6.8","15 November 2019 (Italy)","Hilarious, outgoing and always up for a good time, New Yorker Brittany Forgleris everybody's best friend -- except maybe her own. At 27, her hard-partying ways, chronic underemployment and toxic relationships are catching up with her, but when she stops by a new doctor's office to try to score some Adderall, she gets slapped with a prescription she never wanted: Get healthy. Too broke for a gym and too proud to ask for help, Brit is at a loss, until her seemingly together neighbor Catherine pushes her to lace up her Converse sneakers and run one sweaty block. The next day, she runs two. And soon, after finishing her first mile, she sets an almost unthinkable goal: running in the New York City Marathon.","https://m.media-amazon.com/images/M/MV5BNDRlNTJmNGEtNWM0YS00OWI3LWFkNjUtMzg5MTJjODcyZGU3XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
"1575476949-108","https://www.imdb.com/chart/moviemeter/?ref_=nv_mv_mpm","Uncut Gems","https://www.imdb.com/title/tt5727208/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=495EYDSA8662H5W48FYS&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_93","Uncut Gems (2019)","8.1","25 December 2019 (USA)","From acclaimed filmmakers Josh and Benny Safdie comes an electrifying crime thriller about Howard Ratner (Adam Sandler), a charismatic New York City jeweler always on the lookout for the next big score. When he makes a series of high-stakes bets that could lead to the windfall of a lifetime, Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides, in his relentless pursuit of the ultimate win.","https://m.media-amazon.com/images/M/MV5BZDhkMjUyYjItYWVkYi00YTM5LWE4MGEtY2FlMjA3OThlYmZhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
"1575477135-192","https://www.imdb.com/chart/moviemeter/?ref_=nv_mv_mpm","Ready or Not","https://www.imdb.com/title/tt7798634/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=495EYDSA8662H5W48FYS&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_9","Ready or Not (2019)","6.9","21 August 2019 (USA)","READY OR NOT follows a young bride (Samara Weaving) as she joins her new husband's (Mark O'Brien) rich, eccentric family (Adam Brody, Henry Czerny, Andie MacDowell) in a time-honored tradition that turns into a lethal game with everyone fighting for their survival.","https://m.media-amazon.com/images/M/MV5BYzBkMzAyMDUtZTFkZS00OWUyLTgwM2ItNGI3MTQ5NzA3NTVkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
"1575477075-166","https://www.imdb.com/chart/moviemeter/?ref_=nv_mv_mpm","Home Alone","https://www.imdb.com/title/tt0099785/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=495EYDSA8662H5W48FYS&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_35","Home Alone (1990)","7.6","16 November 1990 (USA)","It is Christmas time and the McCallister family is preparing for a vacation in Paris, France. But the youngest in the family named Kevin got into a scuffle with his older brother Buzz and was sent to his room which is on the third floor of his house. Then, the next morning, while the rest of the family was in a rush to make it to the airport on time, they completely forgot about Kevin who now has the house all to himself. Being home alone was fun for Kevin, having a pizza all to himself, jumping on his parents' bed, and making a mess. Then, Kevin discovers about two burglars, Harry and Marv, about to rob his house on Christmas Eve. Kevin acts quickly by wiring his own house with makeshift booby traps to stop the burglars and to bring them to justice.","https://m.media-amazon.com/images/M/MV5BMzFkM2YwOTQtYzk2Mi00N2VlLWE3NTItN2YwNDg1YmY0ZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg"
"1575477055-157","https://www.imdb.com/chart/moviemeter/?ref_=nv_mv_mpm","Marriage Story","https://www.imdb.com/title/tt7653254/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=495EYDSA8662H5W48FYS&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_44","Marriage Story (2019)","8.5","6 December 2019 (USA)","MARRIAGE STORY is Academy Award nominated filmmaker Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together. The film stars Scarlett Johansson and Adam Driver. Laura Dern, Alan Alda, and Ray Liotta co-star.","https://m.media-amazon.com/images/M/MV5BZGVmY2RjNDgtMTc3Yy00YmY0LTgwODItYzBjNWJhNTRlYjdkXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX182_CR0,0,182,268_AL_.jpg"
"1575476966-116","https://www.imdb.com/chart/moviemeter/?ref_=nv_mv_mpm","Sonic the Hedgehog","https://www.imdb.com/title/tt3794354/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=495EYDSA8662H5W48FYS&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_85","Sonic the Hedgehog (2020)","null","14 February 2020 (USA)","A cop in the rural town of Green Hills will help Sonic escape from the government who is looking to capture him.","https://m.media-amazon.com/images/M/MV5BNDc1ZTlmOWUtNDY2YS00OGU5LTg2MTYtYTk2MmQzMGE2NzUwXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX182_CR0,0,182,268_AL_.jpg"
"1575477131-190","https://www.imdb.com/chart/moviemeter/?ref_=nv_mv_mpm","A Beautiful Day in the Neighborhood","https://www.imdb.com/title/tt3224458/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=495EYDSA8662H5W48FYS&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_11","A Beautiful Day in the Neighborhood (2019)","7.9","22 November 2019 (USA)","Two-time Oscar®-winner Tom Hanks portrays Mister Rogers in A Beautiful Day in the Neighborhood, a timely story of kindness triumphing over cynicism, based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod. After a jaded magazine writer (Emmy winner Matthew Rhys) is assigned a profile of Fred Rogers, he overcomes his skepticism, learning about empathy, kindness, and decency from America's most beloved neighbor.","https://m.media-amazon.com/images/M/MV5BYTc1OWFmZDYtNDkzMy00ZjM2LTkxZDItM2E3ZTg3NTE1ZWE2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
