Method,Min,Max,Var,k
agg_ward,1,16,663.4771373695856,700
agg_compl,1,16,653.1581362605658,700
agg_avg,1,22,623.0282186096739,700
agg_singl,1,511,636.8208615268298,700
k-means,1,16,622.9893300618436,700
agg_ward,1,17,875.143157493318,467
agg_compl,1,17,859.9165458245981,467
agg_avg,1,33,828.3601933068104,467
agg_singl,1,865,859.4929520368993,467
k-means,1,17,839.6950371615095,467
agg_ward,1,18,954.8876948309928,350
agg_compl,1,19,951.805943590503,350
agg_avg,1,33,925.9635009569739,350
agg_singl,1,1002,967.1836112887413,350
k-means,1,18,945.3182703870667,350
agg_ward,2,18,999.6972473501397,280
agg_compl,1,21,1001.0621959028352,280
agg_avg,1,45,984.9689331455353,280
agg_singl,1,1076,1031.2537100925879,280
k-means,1,21,1002.1396360303075,280
agg_ward,2,18,1030.1112396287213,233
agg_compl,1,25,1033.6017991422489,233
agg_avg,1,57,1023.5424728055417,233
agg_singl,1,1139,1076.1786859821284,233
k-means,1,30,1038.2459466334144,233
agg_ward,2,18,1051.9327839836,200
agg_compl,1,25,1056.5518643881294,200
agg_avg,1,57,1051.3360095931346,200
agg_singl,1,1175,1105.7445332203495,200
k-means,1,23,1060.8278368092856,200
agg_ward,2,23,1069.3267940062851,175
agg_compl,2,29,1075.5357533365784,175
agg_avg,1,64,1071.0086392826595,175
agg_singl,1,1199,1129.1582421267817,175
k-means,1,37,1080.7390949194373,175
agg_ward,2,29,1082.9436483811626,156
agg_compl,2,33,1090.002770313014,156
agg_avg,1,86,1088.2004744581711,156
agg_singl,1,1223,1146.4909888224051,156
k-means,2,28,1097.0404989606805,156
agg_ward,2,29,1095.1006205953222,140
agg_compl,2,34,1103.4881646742954,140
agg_avg,1,90,1102.019517233396,140
agg_singl,1,1243,1161.0934221355867,140
k-means,1,43,1106.930334903359,140
agg_ward,2,37,1105.3834950043422,127
agg_compl,2,34,1114.1988775972238,127
agg_avg,1,115,1114.1798015021288,127
agg_singl,1,1258,1172.7967603195898,127
k-means,2,34,1115.3496855122037,127
agg_ward,2,58,1113.345069847388,117
agg_compl,2,40,1122.6295507015263,117
agg_avg,1,133,1125.041781665145,117
agg_singl,1,1268,1181.9509112508385,117
k-means,1,50,1124.5263979385259,117
agg_ward,2,58,1120.9985716470774,108
agg_compl,2,46,1131.476729933484,108
agg_avg,1,144,1132.5037818958042,108
agg_singl,1,1277,1190.163777032029,108
k-means,3,34,1132.0271331528036,108
agg_ward,2,58,1128.3451063937134,100
agg_compl,2,46,1139.5668152778512,100
agg_avg,1,159,1141.3996531334633,100
agg_singl,1,1285,1197.6034514727228,100
k-means,1,43,1137.9426142184293,100
agg_ward,3,58,1135.1458738888825,93
agg_compl,3,60,1146.7882979220897,93
agg_avg,1,177,1149.9361485469583,93
agg_singl,1,1292,1204.0949005621092,93
k-means,3,46,1144.787551242761,93
agg_ward,3,65,1139.4432913460448,88
agg_compl,3,60,1151.8614322578826,88
agg_avg,1,281,1158.0637410104098,88
agg_singl,1,1297,1208.6605128132908,88
k-means,2,42,1146.788105944381,88
agg_ward,3,67,1145.0479421881917,82
agg_compl,3,60,1158.6293553200767,82
agg_avg,1,281,1164.1292377948823,82
agg_singl,1,1304,1214.0374788758268,82
k-means,3,52,1153.5103683625546,82
agg_ward,3,101,1148.966918051512,78
agg_compl,3,60,1162.8859485551125,78
agg_avg,1,281,1167.95226847838,78
agg_singl,1,1308,1217.7349824554428,78
k-means,4,53,1156.1517072551367,78
agg_ward,3,101,1153.0626933767578,74
agg_compl,3,87,1167.3719490571164,74
agg_avg,1,281,1172.3912388701651,74
agg_singl,1,1312,1221.5109427757486,74
k-means,1,42,1158.320618948775,74
agg_ward,5,101,1157.1681052998401,70
agg_compl,3,87,1172.446176709204,70
agg_avg,1,288,1175.2809286159495,70
agg_singl,1,1316,1225.2293376085752,70
k-means,3,69,1161.5621570493167,70
