min_df;max_df;max_features;Accuracy
0,550841747;0,582172261;91;0,51
0,705857309;0,761776304;969;0,53
0,507389107;0,548562724;1245;0,54
0,400547589;0,459641447;1292;0,56
0,627109972;0,7700353;1051;0,56
0,635520244;0,691242203;1170;0,56
0,466171637;0,587010744;259;0,57
0,701906787;0,925935508;1011;0,57
0,675167654;0,875139193;648;0,58
0,668358841;0,80677327;1288;0,58
0,671818888;0,8348695;436;0,58
0,676338661;0,711900586;480;0,58
0,676338661;0,711900586;1027;0,58
0,407097298;0,523508907;572;0,58
0,627109972;0,798485979;644;0,59
0,639116595;0,833835731;730;0,59
0,627109972;0,798485979;1170;0,59
0,62920605;0,834636241;1373;0,59
0,66394694;0,872877875;1121;0,59
0,242730636;0,247495879;1365;0,60
0,064640113;0,069769556;1315;0,61
0,074393776;0,080791869;255;0,62
0,069687204;0,073189883;274;0,62
0,355716986;0,391971724;737;0,62
0,340645411;0,428070394;505;0,65
0,574065545;0,688292648;857;0,65
0,327327857;0,411769183;1128;0,66
0,221997814;0,256706146;747;0,66
0,568375268;0,60821119;1063;0,66
0,353755743;0,510731455;505;0,67
0,373488481;0,513355579;1202;0,67
0,226001536;0,268307328;694;0,67
0,520676795;0,770513592;1184;0,68
0,524131605;0,730268378;1033;0,68
0,56692181;0,752508312;543;0,69
0,517550281;0,875139193;339;0,69
0,52145438;0,966369535;803;0,69
0,571228375;0,845836667;76;0,69
0,571228375;0,807117612;76;0,69
0,480744906;0,760443381;481;0,70
0,48821976;0,999027556;1215;0,70
0,500534824;0,818526206;198;0,70
0,507071614;0,912982894;1041;0,70
0,478011004;0,730401589;272;0,70
0,585398882;0,807117612;1277;0,70
0,393678774;0,675049596;457;0,71
0,145020986;0,195392192;328;0,71
0,310012787;0,559783097;818;0,71
0,452633778;0,912982894;969;0,71
0,436652534;0,632939067;1181;0,71
0,207073707;0,267528631;826;0,72
0,412870427;0,688812025;44;0,72
0,434182688;0,943560203;844;0,72
0,402728208;0,622219998;1136;0,72
0,397152291;0,71737146;648;0,72
0,397152291;0,806166315;1114;0,72
0,468277671;0,870719348;732;0,72
0,470552228;0,94229926;1063;0,72
0,438467267;0,703457385;1067;0,72
0,10389132;0,135758342;722;0,73
0,362875267;0,724741933;1094;0,73
0,349678332;0,664171108;732;0,73
0,383475838;0,62423503;996;0,73
0,290491528;0,443857877;296;0,73
0,263682288;0,487888769;420;0,73
0,0531018;0,42641486;48;0,73
0,281666961;0,450948888;152;0,73
0,369649322;0,700540783;489;0,73
0,332391545;0,629513593;543;0,74
0,349341668;0,832961569;1103;0,74
0,350524486;0,997310973;1043;0,74
0,369649322;0,827267393;562;0,74
0,312312897;0,609988474;487;0,74
0,324666004;0,967399491;777;0,74
0,340645411;0,934833862;1143;0,74
0,386770093;0,911151211;465;0,74
0,295051284;0,523543046;837;0,74
0,043319;0,835221156;59;0,74
0,332391545;0,609988474;816;0,74
0,223789157;0,451413243;1195;0,75
0,11144078;0,582172261;91;0,76
0,011623403;0,589749356;95;0,76
