MPAA,Plot
to_be_classified,During his year in the fifth grade  ten-year-old Joshua Beal (Joseph Cross) begins a personal search to find answers about life and death  a journey triggered by the passing of his beloved grandfather (Robert Loggia).[2]Josh attends Waldron Mercy Academy  a private Catholic boys' school. The adults in his world have not been able to convince him that his grandfather is in good hands  so he sets out on a personal mission to find God. In their varying ways he is guided on his metaphorical journey by his best friend Dave (Timothy Reifsnyder) and a Philadelphia Phillies-loving nun (Rosie O'Donnell) who teaches at his school.[3]Josh shows doubts about his religion as he questions if God truly exists  particularly when Dave is diagnosed with epilepsy and the moments as Josh experiences his first crush. As his academic year comes to an end  he finds his answer in an unexpected way.[4]
to_be_classified,The Grandview is a sprawling Californian hotel with a terrible secret: single blonde visitors who check in don't check out. Hotel detective Rick Stewart (David Bailey) begins investigating what's happened to a handful of vanishing guests but he soon becomes personally involved when his brunette ex-wife  Lisa James (Tiffany Bolling)  arrives for a singing engagement at the hotel. When Lisa dons a blonde wig for her performance  she finds herself the next target of a psychopathic killer.
to_be_classified,"There is a local myth of a Witch whose spirit is said to inhabit an abandoned house known as Open Hearth. It is said the Witch eats children to live; girls to stay beautiful and young men for strength. Though the myth is initially regarded as superstition  it is proven to be real when a little girl named Amanda is snatched from her bedroom without a trace.Max is a teenager mourning his Grandpa's death and is visited by his girlfriend Sammy. Sammy's mom is a drunkard  and her hobby is making prank calls to the police. Max and his brother Zach fight over everything. The next night Max's father has to work and asks Zach to babysit Max. But Max learns that Zach  along with his friends Julie  Carter  and Tracy are planning to go to Open Hearth and throw a rock through one of the windows to see if the myth is true. Max and Sammy decide to follow them and take pictures so he can have his revenge. They take a short cut through the woods on their bikes  where they kiss for the first time.In the meantime  Zach and his friends arrive at Open Hearth and throw stones at the house. One of the stones hits the window  and they are not sure whose stone it was. They see a shadow moving inside the house and run back to the camping area. There they get drunk and have sex with their partners. Max and Sammy find the house and throw stones at it. Max's rock hits the window  and they run after seeing the Witch. Later that night Julie hears a whisper and finds a teddy bear which belongs to Amanda outside the camp. The four decide to check out the woods to find the kidnapped girl. They come near the abandoned house of the Witch and hear a child crying from inside. Julie decides to go in despite the warning from her friends. Zach joins her in the search  and they find Amanda tied up in the basement with an apple in her mouth. They manage to escape into the woods with the witch in pursuit. Once at the campsite they are shocked to find Carter's truck missing and their tent and other camping gear are gone. With the town 10 miles away and the nearest ranger station 4 miles away  they decide to walk rather than wait for the Witch to catch them. Max shoots a video asking whoever finds the footage to burn the house down as the myth is real. The Witch then abducts Max while Sammy screams. Zach and his friends lose their way and wander in circles due to the Witch's magic. Zach finds Max's bike and decides to go into the house again to rescue his brother. The others go into the woods in search of the nearest rangers station. The Witch kidnaps Carter and his girlfriend Tracy while Julie and Amanda hide under the bush.Zach finds Max in the basement and is knocked out by the Witch. Sammy reaches the nearby rangers station and calls the cops  who reject her call as a prank. She finally blackmails Deputy Karl  saying she will upload the photo which shows him smoking on duty if he doesn't show up. Enraged  Karl sets out to arrest Sammy. Back in the house Zach opens his eyes and sees Max  Carter and Tracy pinned to the walls with apples in each of their mouths. The Witch kills Carter and Tracy with a huge meat grinder and eats them both  thereby restoring her beauty. Zach manages to free his hands from the cuffs and tries to escape with Max. They manage to make it out of the house  but the Witch captures them again. In the meantime Karl arrests Sammy and takes her back to the police station  rejecting her pleas to save Max. He gets a message from another cop  Deputy Mahoney  saying the ranger in Speeder Station is dead  and he found Julie and Amanda. Karl realizes Sammy is telling the truth and drives towards Open Hearth  asking Mahoney to meet him there.Karl arrives and goes inside  with Deputy Mahoney remaining to guard Sammy. The Witch kills Mahoney and attacks Karl inside the house. Sammy finds Max  and as she tries to escape with him  they find Zach on the table and save him. They find a bottle designed to capture the witch and decide to use it. The Witch runs away at first but then attacks them and start to drain their souls. They manage to burn her using the flamethrower given to Max by his grandpa  who is revealed to have been a witch hunter. When the police search the house later  they do not find any corpses.The house is later torn down and turned into a children's park  and the film ends with the suggestion the Witch is still hunting children.[3]"
to_be_classified,A blonde floozy (Beverly Michaels) drifts into town and gets a job as a waitress at a local bar. She sets her sights on the bar's handsome owner  who is married to an alcoholic. Her plans are for the two of them to take the bar's money and skip to Mexico  but a boarder (Percy Helton) at the rooming house where she is staying discovers her plans  and he comes up with a plan of his own.
to_be_classified,Poor girl from the slums Katherine Allenbourg trades on her looks. She enters a beauty contest  then charms the elderly gentleman running it  Sam Lewis  into fixing it so she will win first prize  a trip to Europe. She promptly abandons Sam.On a plane to London  after changing her name to Kathy Allen  she is attracted to Tim O'Bannion  who works for an ad agency. However  she's determined to land someone wealthier and photographer Larry Buckham  whom she meets at her London hotel  fills the bill. Invited to use his charge account at a department store for a wedding dress  Kathy makes many purchases  pawns the merchandise and leaves Larry without a word.She gets a job at Tim's advertising firm and seduces Stephen Collins  the man who runs it  and who is married. Tim arouses more passion in her  but Kathy's strictly out for herself. She demands Collins divorce his wife Virginia  whose father John Dowling owns the agency. Virginia tries to pay her off  but Kathy requests a transfer to the agency's Paris headquarters  where she immediately uses her wiles to get Dowling to marry her.Anonymous threats begin by mail and phone. Someone in the shadows begins stalking her. Kathy picks up a gun and shoots  killing her husband. No one believes her tale of a prowler and Kathy is tried  convicted and sentenced to die.Realizing that Larry is the man behind this turn of events  Tim reveals to him something he only just discovered  an explanation for Kathy's cruel treatment of men. When she was a girl  she was brutally assaulted. Larry has a change of heart and confesses to stalking her. Kathy's prison sentence is reduced  and she hopes Tim will give her another chance once she gets out.
to_be_classified,Lois King keeps her troubled past from nightclub owner Kenny Randall  who hires her to sing at his club  The Cockatoo  and has fallen in love with her.Lois is blackmailed by Eddie  the ex-partner of her father  Red  who is in prison. Eddie and a female safecracker  Dottie Manson  will see to it that Red's sentence is extended to life unless Lois helps them rob the nightclub.Kenny accidentally comes across the burglars and is killed. Lois finds his body and is arrested and falsely convicted for his murder.Lois is on death row when Dottie is brought to the prison. By the time other inmates can convince Dottie to confess to killing Kenny  the execution has been carried out.
to_be_classified,In 1913  in Carlton  Pennsylvania (shot in Bulgaria)  the cruel owner of the Carlton mine exploits poor immigrant children. In order to excavate a new shaft quickly  he employs a dynamite charge  but the explosion causes the mine to collapse  burying a large group of the children alive. Following his later trial for wilfully causing the death of his workers  Carlton is acquitted and the mine closed down.In present day  eighty years later  Karen Tunny has just lost her husband after a long period of terminal disease and has inherited his birthhome near the since-abandoned Carlton mine. She moves to the house with her daughters  Sarah and Emma. The three stop by the local market for supplies and are told by Walter  the shopkeeper  that he doesn't deliver to the area they live in. While driving  Karen has a near miss with a man crossing the road. She exits the car  looking for the man  but he's nowhere to be found. They arrive at the house and Sarah points out the blood on the door while Karen declares it's just paint.When Emma hears children giggling  she leaves the house  following the sound of it. Karen goes out looking for Emma and finds her in an old mine. As they try to find their way back to the house  it becomes nightfall and they get lost. They find a house  which is occupied by Hanks  and enter. Karen is advised by Hanks to stay at home during the night  and he also tells her that there is no need to thank him for the blood smeared on his and the Tunny's door.William Carlton  the last surviving heir of the Carlton estate  which has owned the mine since 1913  is hungrily devouring property and kicking people off his own property. Meanwhile  the zombie children begin to kill  which is dismissed among the community as disappearances  though it is hinted that most of the community is aware of the presence of the children.As it turns out  the Tunny and Hanks families are relatives of the zombie children who happen to leave blood relatives alive while killing all others. Emma  who has had friendly contact with a less-violent zombie named Mary  informs her mother that the zombies won't eat her  and that Mary would not directly hurt her mother (who is not a direct Tunny blood relative)  but passes on the warning that the other children might. Karen finds some old family photo albums in the basement that contain pictures of her late husband  as well as the Tunny and Hanks children who died in the mine disaster  thus revealing that the family is related to some of the children who died in the mine.Karen and Sarah leave the house to go look for Emma. As they exit the mine  not being able to find Emma  they become surrounded by a dozen of the children. They escape  with the children pursuing them  and find a car passing through with Carlton inside. They enter  telling him to drive  but the tires are slashed before they can pull away.Karen and Sarah run to Hanks' house  unsure of what to do. Soon enough  Karen figures out that Hanks' blood has a supposed repellent effect on the zombie children. As both Hanks and Carlton attempt to shoot the children  they realize the bullets are ineffective  and run to the barn.Hanks realizes that  as he and Emma are direct blood relatives  it turns out Mary has an older brother that's also a Tunny  and Karen is in some way protected by Emma's relationship with Mary. The children are really after Carlton  as they blame his family for the mining accident that killed them.After Carlton is killed by the children  Emma remarks that they won't be hurting anyone anymore.At the end  the Tunny family drives away and reveals that the house has not been sold. Now  Mary lives in the house  with the bear that Emma gave her  and a few of the other children as well.
to_be_classified,Cletus Hayworth  a compulsive liar  is employed as a social worker. He tries to find a home for a young boy named Jorge and  in so doing  falls in love with a social worker  who unbeknownst to everyone is Jorge's mother.
to_be_classified,Harold Van Pelham (Lloyd) is a rich businessman who fancies himself deathly sick when in fact he is perfectly fine. He decides to sail to a small  nearly unknown island some distance West of South America named El Paradiso for his health.Instead of the peace and seclusion he is seeking  he finds himself in the midst of a revolution  although for a long time he does not realize this (resulting in several hilarious scenes). Finally  he is thrown into prison where he meets a friendly giant  Colosso (Aasen). Together  they engineer an escape. After Harold helps Colosso pull out a bad tooth  Colosso is eternally grateful and vows to do Harold's will. Harold decides that the revolution is bad for his health and must be stopped. Harold  Colosso  and Harold's nurse (Ralston) manage to single-handedly quell the revolution. Finally  Harold realizes that he is not as sick as he thought he was.
to_be_classified,The plot is set in 1935  during the Depression. Max Brown (Bud Cort) is an urban east-province Canadian fresh from college who travels to Western Canada to accept a teaching position at a one-room rural schoolhouse in the fictional settlement of Willowgreen  Saskatchewan  because there are no other jobs available.He decides to live in the school's basement  having to adapt to teaching in the Depression-era rural setting  especially given the bleakness of the settlement. His students at first are rebellious  but it eventually changes to a connection between student and teacher as Max gets into a love for Alice Field (played by Samantha Eggar)  going to him for emotional support.Max barely gets paid and he suffers through the paltry winter of Willowgreen  especially suffering given his physical and emotional isolation in the town  only finding solace in Harris Montgomery (played by Gary Reineke) and Alice Field  who both try to use him to solve their problems of political socialism and her being a war bride of Britain.Max eventually begins to understand Willowgreen and the rural struggles  as the inspector (Kenneth Griffith) comes in to look at his work  which does not end too well. The school year ends as Max is getting on a train back east  but before the credits roll  he tells us he returned the following September to teach another year at Willowgreen.
to_be_classified,Movie that inspired the American 50 First Dates With Adam Sandler.The movie starts with Don (Louis Koo) on a bus with 2 girls fighting over him. He then meets Ding Ding(Cherrie Ying) who suddenly falls in love with him. But when he woke up early next morning  he had forgotten Ding Ding and she got real mad at him. But luckily  a doctor(Tats Lau) told Ding Ding everything about Don. So they try to help Don with his memories  before he stays like that forever........
